District,State,Population,Growth,Sex-Ratio,Literacy
Rajsamand,Rajasthan,1156597,17.18%,990,63.14
Sivasagar,Assam,1151050,9.44%,954,80.41
Sahibganj,Jharkhand,1150567,24.01%,952,52.04
Chikmagalur,Karnataka,1137961,-0.26%,1008,79.25
Jagatsinghapur,Orissa,1136971,7.50%,968,86.59
Ambala,Haryana,1128350,11.23%,885,81.75
Sidhi,Madhya Pradesh,1127033,23.72%,957,64.43
Jehanabad,Bihar,1125313,21.68%,922,66.8
Tarn Taran,Punjab,1119627,19.23%,900,67.81
Shravasti,Uttar Pradesh,1117361,-5.02%,881,46.74
Bundi,Rajasthan,1110906,15.40%,925,61.52
Idukki,Kerala,1108974,-1.79%,1006,91.99
Hamirpur_2,Uttar Pradesh,1104285,5.80%,861,68.77
Jorhat,Assam,1092256,9.31%,962,82.15
Narsimhapur,Madhya Pradesh,1091854,14.01%,920,75.69
Mewat,Haryana,1089263,37.93%,907,54.08
Ramanagara,Karnataka,1082636,5.05%,976,69.22
Anantnag,Jammu and Kashmir,1078692,38.58%,927,62.69
Kaithal,Haryana,1074304,13.55%,881,69.15
Gadchiroli,Maharashtra,1072942,10.58%,982,74.36
Golaghat,Assam,1066888,12.75%,964,77.43
Shahdol,Madhya Pradesh,1066063,17.39%,974,66.67
Saraikela Kharsawan,Jharkhand,1065056,25.47%,956,67.7
Gadag,Karnataka,1064570,9.54%,982,75.12
Karur,Tamil Nadu,1064493,13.77%,1015,75.6
Rohtak,Haryana,1061204,12.88%,867,80.22
Chandigarh,Chandigarh,1055450,17.19%,818,86.05
Mandla,Madhya Pradesh,1054905,17.97%,1008,66.87
Chatra,Jharkhand,1042886,31.77%,953,60.18
Palwal,Haryana,1042708,25.76%,880,69.32
Lakhimpur,Assam,1042137,17.22%,968,77.2
Sambalpur,Orissa,1041099,11.27%,976,76.22
Sirohi,Rajasthan,1036346,21.76%,940,55.25
Mahasamund,Chhattisgarh,1032754,20.05%,1017,71.02
Gumla,Jharkhand,1025213,23.16%,993,65.73
Jhabua,Madhya Pradesh,1025048,30.70%,990,43.3
Chamarajanagar,Karnataka,1020791,5.73%,993,61.43
Panna,Madhya Pradesh,1016520,18.67%,905,64.79
Goalpara,Assam,1008183,22.64%,964,67.37
Baramulla,Jammu and Kashmir,1008039,19.45%,885,64.63
Lakhisarai,Bihar,1000912,24.77%,902,62.42
Mandi,Himachal Pradesh,999777,10.92%,1007,81.53
Moga,Punjab,995746,11.28%,893,70.68
Mohali,Punjab,994628,33.15%,879,83.8
Chitrakoot,Uttar Pradesh,991730,29.43%,879,65.05
Bangalore Rural,Karnataka,990923,16.45%,946,77.93
Rayagada,Orissa,967911,16.46%,1051,49.76
Kurukshetra,Haryana,964655,16.86%,888,76.31
Nayagarh,Orissa,962789,11.37%,915,80.42
Jhajjar,Haryana,958405,8.90%,862,80.65
Morigaon,Assam,957423,23.34%,967,68.03
Karbi Anglong,Assam,956313,17.58%,951,69.25
Nainital,Uttarakhand,954605,25.13%,934,83.88
Puducherry,Puducherry,950289,29.23%,1029,85.44
Baksa,Assam,950075,10.74%,974,69.25
Ramgarh,Jharkhand,949443,13.10%,921,73.17
